run_id,system,task_set,condition,n,accurate,accurate_ci_low,accurate_ci_high,propagated,propagated_ci_low,propagated_ci_high,detection_hit,detection_hit_ci_low,detection_hit_ci_high,recovered,recovered_ci_low,recovered_ci_high
poison,dag-bpd,micro_qna,all,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,dag-bpd,code,all,5,0.6,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,dag-yonsei,micro_qna,all,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
poison,dag-yonsei,code,all,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,general-agent-system,micro_qna,all,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,general-agent-system,code,all,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-bpd,micro_qna,all,300,1.0,1.0,1.0,0.0,0.0,0.0,0.29,0.24,0.3466666666666667,0.29,0.23666666666666666,0.34
poison-conditions,dag-bpd,micro_qna,none,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-bpd,micro_qna,document,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-bpd,micro_qna,agent,100,1.0,1.0,1.0,0.0,0.0,0.0,0.87,0.8,0.93,0.87,0.8,0.93
poison-conditions,dag-bpd,code,all,300,0.9833333333333333,0.9666666666666667,0.9966666666666667,0.006666666666666667,0.0,0.016666666666666666,0.21333333333333335,0.17,0.2633333333333333,0.21333333333333335,0.16666666666666666,0.25666666666666665
poison-conditions,dag-bpd,code,none,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-bpd,code,document,100,0.99,0.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-bpd,code,agent,100,0.96,0.92,0.99,0.02,0.0,0.05,0.64,0.55,0.73,0.64,0.54,0.73
poison-conditions,dag-yonsei,micro_qna,all,300,0.99,0.9766666666666667,1.0,0.0,0.0,0.0,0.3333333333333333,0.28,0.38666666666666666,0.3333333333333333,0.27666666666666667,0.38666666666666666
poison-conditions,dag-yonsei,micro_qna,none,100,0.99,0.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-yonsei,micro_qna,document,100,0.98,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-yonsei,micro_qna,agent,100,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
poison-conditions,dag-yonsei,code,all,300,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.28,0.38333333333333336,0.3333333333333333,0.28,0.38333333333333336
poison-conditions,dag-yonsei,code,none,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-yonsei,code,document,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,dag-yonsei,code,agent,100,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
poison-conditions,general-agent-system,micro_qna,all,300,0.9333333333333333,0.9033333333333333,0.96,0.06666666666666667,0.04,0.09666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,general-agent-system,micro_qna,none,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,general-agent-system,micro_qna,document,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,general-agent-system,micro_qna,agent,100,0.8,0.72,0.88,0.2,0.12,0.28,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,general-agent-system,code,all,300,0.92,0.8866666666666667,0.95,0.06333333333333334,0.03666666666666667,0.09,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,general-agent-system,code,none,100,0.98,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,general-agent-system,code,document,100,0.99,0.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison-conditions,general-agent-system,code,agent,100,0.79,0.71,0.86,0.19,0.12,0.27,0.0,0.0,0.0,0.0,0.0,0.0
